,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Ges_Type
33,-83.24539855816526,4.861685749045409,1.4432359181817689,-1.7006085520346028,-168.65853455051797,-94.92996843746444,-88.54529322158513,-85.84600814758417,7.09042736072111,-89.09523298055827,-95.24568598914945,-176.3745310302739,-88.96990981999238,-90.05153343096809,Right
34,-85.52171759300245,6.656662770321037,1.4493636123641478,-1.5119047156764098,-170.84061904397464,-93.3352357080188,-89.96379658895296,-85.7754918155746,0.07067067784510299,-89.98836200607403,-91.40124147100627,-176.46174951275304,-89.0013011883891,-90.00790502920104,Right
35,-79.52478357902874,13.398651975215726,0.07630845506703399,-1.6909695562264455,-175.50057491567668,-96.20577719609368,-89.9047824682608,-87.15457645391191,3.8038895034096494,-89.056014694875,-92.78648957647997,-176.4643900595395,-86.01861288868866,-91.35791934418245,Right
36,-83.2498923200194,13.871580238518234,0.03314459217814587,-1.6658786528403602,-175.33179658753124,-95.98825706173186,-87.05001025226947,-85.73935619264711,3.5034158652502243,-89.07637470128599,-95.76819357262352,-179.90283116071498,-89.92592757103043,-90.00690135485023,Right
37,-85.35820945214431,10.191416655434145,1.4772670088526978,-6.278769486198153,-173.17474583299753,-93.1688601959834,-88.5257851698827,-85.72360110619019,0.05946737816756243,-89.12036342675121,-93.0292893321572,-176.55166512924797,-89.05257379322784,-90.01253000669676,Right
38,-78.35443333015678,8.872288425289895,1.4546718749933572,-6.443722254037304,-173.47721083227495,-96.13876328793917,-88.54095465286471,-87.86422995308523,0.07894959632317419,-89.09368597087558,-91.69395261344701,-179.89955148593646,-86.229275181774,-88.4671841098873,Right
39,-80.6500420922056,9.192035147987268,1.455664561648092,-6.70057160630582,-171.33652782724127,-97.8472771461864,-88.52576652504546,-87.13496914526732,0.13283138866113683,-89.06859712044799,-94.88825959607917,-179.90827360127042,-88.11885721738075,-86.81268085257423,Right
40,-85.33123064519069,11.230198925098506,1.4471323962349072,-6.15612092607513,-173.04789307747015,-97.65838043111714,-87.0770384507896,-85.78585779507604,3.7488031877210153,-88.21030457062047,51.730438203268804,-176.18707554002455,-89.02840907555672,-88.3764533020579,Right
41,-85.18957071021366,10.893278912559166,1.4053169872092426,-7.800908560182864,-173.2015554725911,-96.18807210631239,-88.45751022481447,-85.84447814537353,3.7193499397279806,-88.22590923634719,51.8366510085592,-179.91358193392264,-89.0116772140297,-86.80559932848631,Right
42,-85.30737203350752,12.464167718663456,-0.042680468480149364,-1.5385603310662033,-175.34125630813926,-95.96487376117018,-86.88809972947875,-86.46844613423642,0.0667026092003266,-89.05016982180071,-94.44957370992255,-179.95803141778185,-88.99654932292735,-89.950986300861,Right
43,-85.53071705586298,12.001238981855638,0.009201580814139099,-1.5379496001591624,-175.36055864899723,-94.54759409123163,-88.39347691933348,-85.82280755170073,0.058609429380535816,-89.0510917318815,-91.44748513707258,-176.58558483039383,-89.01641990444345,-89.93738957642705,Right
44,-85.7131746115136,8.394515843898883,1.457771547844716,-1.5042916329243559,-173.10423986045245,-93.3729189409758,-89.95887598932505,-85.91745526611592,3.7030528605634014,-89.03013891410833,-90.05138857402576,-179.92683605259316,-88.97725376143329,-89.95183390606378,Right
45,-85.36433451716596,4.2593283006941665,0.08773965480428493,-1.568199886174153,-168.71036073576735,-93.46237520605698,-91.41676632954459,-85.96897847967618,0.031307319149400416,-89.04127272111452,-92.68709892125261,-176.55130107157075,-88.97856408298291,-89.92500384390239,Right
46,-85.35996124177926,6.109060264786316,0.009276545258705388,-3.2818411809915844,-170.90652991953084,-94.80271930003158,-91.46453746724937,-86.52449157555435,0.051591145679666967,-89.07053743470466,-92.61371255941533,-176.47891103760878,-88.05872263685576,-90.00482202092262,Right
47,-85.50384434622268,12.465327815757526,-0.02591632855183656,-3.2750655756161464,-177.36770281383232,-97.43150154321008,-91.6530987759031,-86.5029515983573,3.653763980975582,-88.05409535618276,-92.45277350392153,-179.94762976944259,-88.92872397340201,-90.01169500129292,Right
48,-83.18695004526789,4.672376800794907,1.3571756433501099,-1.4958068506136875,-168.7976494877142,-98.31744706413141,-91.51270346209819,-89.27820775745653,0.07158001358693282,-88.03857391135193,-92.28112478032871,-176.2459741115381,-84.99939776051022,-90.02967833540846,Right
49,-80.93569123728994,4.637976303596321,1.4371223216059428,-3.0335235203134063,-168.77304158340564,-99.91368946885042,-90.09189786691489,-88.59446556992268,0.009606580177831461,-89.98140467147086,-90.06408556454652,-179.97880326568875,-85.17519952442734,-92.45904969045002,Right
50,-78.76389697428266,11.350980642802766,1.3274854789220072,-4.935327651927006,-175.5598433640168,-97.6293048265862,-90.05459182567034,-89.27812793480133,-0.006313763044345266,-89.96830741116119,-90.06074694142193,-179.95167281150455,-88.92210330045307,-90.05774684819728,Right
51,-85.30906697181655,4.166081547345654,1.4843720956923883,-1.45777841941937,-168.78916755965815,-93.50868775911398,-91.43117283122176,-87.23850964696561,-0.013609561491380354,-88.10109758604412,-94.41487384088542,-179.98478728621276,-88.0726464478416,-90.02103038884673,Right
52,-85.45374607792634,4.661186766235161,1.478324301251788,-2.9382528953335814,-168.7572051103303,-94.93254435965152,-94.34022856381601,-88.56993817640272,0.0033860015349052607,-89.06883694678513,-92.17862567903545,179.96734949649127,-85.92471129216607,-88.999646655165,Right
53,-78.79248116062959,11.277177266921457,-0.018881053312384655,-6.298040453000446,-175.54979475505638,-97.71277208004476,-90.04349626499386,-89.95738765436299,-0.028603529559280267,-89.04111902362648,-91.02211030674258,179.98488250556488,-86.91436341379885,-91.06401323630831,Right
54,-81.5647466895319,8.727923828859906,0.044966523407807456,-1.6791632328212305,-173.61380946233243,-93.36727935158105,-91.50583282606206,-88.61115635499546,0.02455458514949387,-88.01061439473465,-94.12665065510139,-179.96900511117892,-88.95095434719268,-90.01875798573037,Right
55,-85.49474080686811,4.610898715943228,0.019416887430669223,-1.4601435269319232,-166.6825850709721,-93.49304140894667,-95.69724886341542,-89.27946701338468,-0.015373867902282496,-89.02502099528921,-92.21641954679312,-179.99000876339377,-84.07405382571329,-91.06447493556672,Right
56,-80.89131223538318,6.587564373490836,1.510427962397416,-4.786329477514366,-170.90366959051437,-98.08704550881204,-91.42602617354746,-89.30772253096438,-0.030171550403918303,-89.94192856951504,-90.08626809337542,179.97235154263547,-86.90386813394724,-91.0747989378124,Right
57,-85.32482543922177,12.446209114764635,0.05133965496522642,-8.05455777114,-175.32687103248352,-93.17376193536649,-91.56291296050367,-87.88920253971511,0.02708324099654534,-87.97432552635406,-94.18891891370214,-179.9897567426844,-88.95847768617413,-88.87059060000264,Right
58,-85.72878764524343,11.174315826153286,0.10460516498291215,-1.7461002249121391,-175.11148180069065,-96.48954506281426,-94.4427493359517,-89.29911127702478,-0.0750609568154002,-89.96987249868043,-91.11408182556615,179.97802383711888,-86.99597237033167,-88.82207290316896,Right
59,-80.54089393546435,2.448539592730938,0.034370941557094324,-1.6123762830215103,-166.6990128604335,-96.71902106454257,-91.48999859542333,-89.28868479969296,-0.025615650153718084,-88.09716570196031,-92.25192869178719,179.9747217870991,-88.9920994431564,-89.95393909464917,Right
60,-85.26384596368742,8.487779025247448,-1.5190259868123779,-4.647259537302004,-173.21496398416812,-93.13553074878911,-91.69007488230704,-87.23395446090822,-0.0021895360549217197,-89.99174965041202,-92.19641347292817,176.36469456847394,-88.99127822964456,-89.98788685324541,Right
61,-83.22046450901378,9.396798104365965,-0.026114704242344536,-4.845810374871227,-173.1115345414622,-94.91397716348463,-95.93454102061793,-89.983474554252,-3.685529990320409,-89.01662548966823,-91.11358057227555,179.93864903303148,-87.04147337027726,-88.80774371295503,Right
62,-78.74749279321352,2.4526060161352254,1.4091817860844729,-3.205512516203774,-168.31598448903097,-99.89369127532792,-91.55546569191054,-89.3470507481952,-0.035553167298851614,-88.98823652276691,-92.25318567736508,179.9435841470339,-88.99537231854784,-89.94191794816368,Right
63,-80.94471198912534,8.680709342316042,-1.5517022120122075,-3.2351082769004615,-173.36549885011453,-94.75249688097462,-91.60744552283269,-88.59975450647312,-0.0074507361871460715,-88.94951320128197,-94.31229080240924,176.3441322046686,-89.93912302984411,-88.88880687612634,Right
64,-85.6740590466069,12.859959552758642,-1.4272592725120943,-7.837723381581582,-175.2003586693237,-93.19490395287183,-93.24464270660908,-88.60178294280661,0.008802566697760365,-89.99347180759777,-91.21892636359559,-179.94228510512522,-88.99718401594626,-90.02359812989484,Right
65,-85.51458780794343,4.6372799242375145,0.04247221159980832,-1.6516606574120236,-168.38110413397365,-93.41221543725074,-97.45010440718963,-89.31529071129849,-0.012859348222809456,-89.99834286078702,-91.0507394437472,179.9974979488677,-85.79876245373458,-91.1146361638031,Right
